coffee name,coffee rating,roaster name,roaster city,coffee origin country,coffee origin city,roast level,price,aroma,acidity,body,flavor,aftertaste,species (variety),price per kg USD,roaster country
Ethiopia Yirgacheffe Cleopatra Natural,94,Quartet Kaffe,Taipei,Ethiopia,Yirgacheffe growing region,Medium-Light,19.8,9,9,9,9,8,Landrace,99.0,Taiwan
Ethiopia Yirgacheffe Dumerso G1 Natural,94,RamsHead Coffee Roasters,Bozeman,Ethiopia,Yirgacheffe growing region,Medium-Light,18.95,9,9,9,9,8,,55.704165319380344,United States of America
Guatemala Santa Felisa Solar Eclipse Gesha Natural,94,Euphora Coffee,Taipei,Guatemala,Acatenango growing region,Light,20.46,9,9,9,9,8,Geisha,180.42328042328043,Taiwan
Coral,94,Finca Tasta,Llayla;atipo Province,Peru,Llayla District;Satipo Province,Medium-Light,10.0,9,9,9,9,8,Pacamara,40.0,Peru
Ethiopia Guji Goro Muda Washed G1,95,94 Fresh Coffee,Kaohsiung,Ethiopia,Guji Zone,Light,14.85,9,9,9,9,9,,65.47619047619047,Taiwan
Ethiopian Guji Ana Sora Alcoholic Natural G1,94,Normandy Coffee Thai Cuisine,Kaohsiung,Ethiopia,Guji Zone,Medium-Light,9.9,9,9,9,9,8,,43.650793650793645,Taiwan
Panama Hacienda La Esmeralda Gesha,96,Big Shoulders Coffee,Chicago,Panama,Boquete growing region,Medium-Light,56.0,9,9,9,10,9,Geisha,246.91358024691357,United States of America
Ethiopia Cup of Excellence Guji Natural,95,Paradise Roasters,Minneapolis,Ethiopia,West Guji Zone;Hambela Wamena Woreda,Light,19.95,9,9,9,9,9,74110;Robusta,175.9259259259259,United States of America
Ethiopia Sidama Telamo FTO Natural,95,Souvenir Coffee,Berkeley,Ethiopia,Sidamo (also Sidama) growing region,Medium-Light,23.0,9,9,9,9,9,Landrace,67.60927716864106,United States of America
Ethiopia Guji Laayyoo Natural,94,Paradise Roasters,Minneapolis,Ethiopia,Guji Zone,Light,24.95,9,9,9,9,8,74110;Robusta,73.34136805902584,United States of America
Magic Cat Kenya Civet AFCA TOH NO.2 Gatuya Factory New Murarandia AA,94,"Good Chance Biotechnology, Ltd.",Taichung,Kenya,"[""Murang'a County""]",Medium-Light,206.0,9,9,9,9,8,,908.289241622575,Taiwan
Ethiopia Grade 1 Chelchele,94,Nostalgia Coffee Roasters,San Diego,Ethiopia,Yirgacheffe growing region,Light,22.0,9,9,9,9,8,Landrace,64.66974337870015,United States of America
Ethiopia Natural Yirgacheffe Gr.1 Cleopatra,95,Simon Hsieh Aroma Roast Coffees,Taoyuan,Ethiopia,Yirgacheffe growing region,Medium,36.3,9,9,9,9,9,,160.05291005291002,Taiwan
Taiwan Alishan Zhou-Zhu-Yuan Farm Estate Reserve Washed,94,Simon Hsieh Aroma Roast Coffees,Taoyuan,Taiwan,Alishan,Medium,36.3,9,9,9,8,9,Bourbon;Typica,160.05291005291002,Taiwan
Ethiopia Keramo Zero Oxygen Natural,94,Theory Coffee Roasters,Redding,Ethiopia,Keramo Village;Sidama Region,Medium-Light,55.0,9,9,9,9,8,,242.50440917107582,United States of America
Panama Elida ASD Natural,94,modcup coffee,Jersey City,Panama,Boquete growing region,Light,60.0,9,9,9,9,8,Geisha,400.0,United States of America
Peru Yanesha Geisha,94,94 Fresh Coffee,Kaohsiung,Peru,Pasco Department;Villa Rica,Medium-Light,33.0,9,9,9,9,8,Geisha,145.5026455026455,Taiwan
Ethiopia Guji Chembi,95,Vennel Coffee,Keelung,Ethiopia,Guji Zone;Oromia Region,Medium-Light,14.85,9,9,9,9,9,,65.41850220264317,Taiwan
Kenya Nyeri,94,Peacock Coffee Roaster,Taipei,Kenya,Nyeri growing region,Medium-Light,14.85,9,9,9,9,8,,66.0,Taiwan
Kona Red Bourbon Anaerobic Washed Uluwehi Farm,95,Paradise Roasters,Minneapolis,Hawaii,Holualoa;Kona,Medium-Light,29.95,9,9,9,9,9,Bourbon;Robusta,264.10934744268076,United States of America
Wush Wush,95,Red Rooster Coffee Roaster,Floyd,Ethiopia,Sidama growing region,Light,20.99,9,9,9,9,9,Wush Wush,61.700814250859814,United States of America
Honey Typica Anaerobic,95,Hala Tree Kona Coffee,Captain Cook,Hawaii,North Kona growing district,Medium-Light,75.0,9,9,9,9,9,Typica,165.34756057232303,United States of America
Geisha,94,Hala Tree Kona Coffee,Captain Cook,Hawaii,North Kona growing district,Medium-Light,33.0,9,9,9,9,8,Geisha,145.5026455026455,United States of America
