Country (In thousand 60-kg bags),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Saint Vincent & the Grenadines,0.065,0.305,0.763,0.637,0.366,0.654,0.538,0.618,0.942,0.804,0.936,0.972,1.315,1.091,0.498,0.307,0.340,0.565,0.685,0.310,0.350,0.242,0.360,0.454,0.605,0.548,0.750,0.300,0.542,0.068
Belize,4.522,4.862,5.419,5.484,5.611,9.604,9.617,14.790,10.727,7.448,13.499,9.153,11.056,1.301,1.870,0.649,3.379,2.274,1.594,1.813,2.410,2.408,3.958,5.905,8.537,14.019,14.263,15.877,22.932,25.676
Bermuda,4.058,4.561,4.583,4.134,4.117,3.967,6.633,4.050,4.050,4.633,4.633,4.633,8.010,0.979,1.276,1.940,2.793,1.365,1.486,2.316,2.672,4.497,4.226,6.398,9.646,8.288,4.587,4.711,4.900,4.574
Albania,28.417,9.283,33.333,59.685,67.802,31.302,11.275,1.651,6.248,42.142,71.324,77.208,71.475,76.161,68.863,67.480,103.342,112.721,115.349,122.167,113.653,116.812,123.346,131.379,123.046,143.464,154.180,154.907,125.143,144.686
Belarus,0.000,0.000,5.500,10.000,30.000,64.221,28.264,79.739,14.034,12.171,26.524,28.377,32.239,64.271,92.723,163.244,210.897,257.644,290.905,170.607,179.858,158.406,200.651,199.930,257.118,258.617,275.139,333.253,382.671,379.088
Bosnia and Herzegovina,0.000,0.000,36.600,42.700,18.850,16.450,21.786,20.040,314.482,84.365,64.804,114.159,182.899,401.475,394.688,367.923,410.800,410.080,407.662,342.337,316.979,373.271,396.671,409.414,392.382,408.174,405.351,390.768,403.331,401.928
Georgia,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,44.681,50.075,42.805,34.910,34.322,42.115,80.969,86.028,81.390,127.691,92.268,134.246,137.693,147.103,154.795,168.048,168.222,183.539,187.302,195.293,192.831,210.722
Gibraltar,2.520,2.500,1.000,1.000,0.603,0.672,1.692,0.877,0.885,0.173,0.421,0.123,2.486,1.030,0.914,1.037,1.650,1.362,0.993,1.229,0.794,1.894,0.229,1.146,0.091,1.569,0.500,3.002,2.928,3.017
Holy See,2.747,3.455,3.357,2.512,2.086,1.716,1.401,1.591,1.510,1.529,1.356,0.873,1.610,1.082,1.073,0.932,0.803,0.496,0.303,0.280,0.314,0.253,0.100,0.100,0.100,0.100,0.100,0.002,0.000,0.000
Iceland,37.674,41.985,42.952,43.104,38.886,39.511,42.245,38.102,44.094,40.688,43.558,39.950,43.264,43.581,44.540,48.691,44.643,47.787,44.084,47.291,44.871,42.021,44.755,46.370,46.770,50.102,53.767,51.812,51.168,53.532
Montenegro,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,184.422,150.310,144.692,206.214,218.984,146.714,74.973,82.876,65.277,65.273,59.480,58.781,58.927,145.088
The former Yugoslav Republic of Macedonia,0.000,0.000,78.758,51.262,63.288,69.845,51.392,53.162,77.077,62.419,36.667,90.115,108.000,126.423,130.532,135.962,132.212,144.501,136.402,146.261,133.423,135.383,148.078,156.042,145.353,146.927,153.109,151.121,158.530,165.531
Moldova,0.000,0.000,5.485,0.800,0.801,1.661,2.852,5.269,4.465,2.569,3.248,13.778,12.980,22.896,8.315,11.326,15.836,25.012,27.026,27.714,34.634,38.538,39.998,39.341,44.738,40.141,51.410,51.881,61.210,66.739
Republic of Serbia,0.000,0.000,482.758,0.000,0.000,0.000,179.774,307.409,466.820,451.200,644.130,672.436,747.301,772.843,859.902,653.116,613.136,619.835,690.064,577.553,555.994,585.079,604.861,579.511,594.468,511.497,610.990,575.536,549.738,616.558
Ukraine,0.000,0.000,23.400,13.867,83.260,185.190,269.207,170.653,135.690,265.960,184.235,232.756,443.282,650.751,744.267,"1,032.531",988.947,"1,084.621","1,828.961","1,541.072","1,588.247","1,371.741","1,293.831","1,402.881","1,291.076","1,155.126","1,183.620","1,146.841","1,337.758","1,457.349"
Canada,"2,253.478","2,356.146","2,271.012","2,488.917","2,827.130","2,509.893","2,763.456","2,863.889","3,410.341","3,315.161","3,321.067","3,376.948","3,199.325","2,984.947","3,508.854","3,588.623","3,809.037","3,902.242","3,805.384","3,896.478","4,365.799","4,542.109","4,443.530","4,519.733","4,981.025","4,697.866","4,872.775","5,098.464","5,113.962","5,420.402"
Argentina,508.361,577.464,697.761,648.852,646.416,630.228,711.556,743.118,642.513,650.068,629.213,640.721,529.052,631.928,586.116,596.008,581.412,649.067,575.927,562.319,627.983,592.006,760.265,803.713,562.092,631.517,523.599,627.333,598.634,634.581
